Class,Percent
Alchemist,0.0233
Artificer,0.06255
Barbarian,0.07175
Bard,0.06235
Cleric,0.07952
Druid,0.03393
Favored Soul,0.037
Fighter,0.1018
Monk,0.04211
Paladin,0.08606
Ranger,0.08074
Rogue,0.10814
Sorcerer,0.05151
Warlock,0.07114
Wizard,0.0881
