Day,Players,LFMs
Sunday,323.67,11.45
Monday,239.25,9.62
Tuesday,228.97,9.26
Wednesday,222.63,8.34
Thursday,225.44,8.14
Friday,258.22,9.10
Saturday,317.18,10.77
