Class,Percent
Alchemist,0.05527
Artificer,0.06869
Barbarian,0.05687
Bard,0.05016
Cleric,0.06038
Druid,0.04441
Favored Soul,0.03962
Fighter,0.06102
Monk,0.04824
Paladin,0.09457
Ranger,0.07604
Rogue,0.10351
Sorcerer,0.07125
Warlock,0.08371
Wizard,0.08626
