Day,Players,LFMs
Sunday,314.40,9.24
Monday,244.10,7.99
Tuesday,229.37,7.82
Wednesday,214.20,7.18
Thursday,233.18,7.80
Friday,251.88,8.18
Saturday,309.87,9.08
