Day,Players,LFMs
Sunday,326.60,10.25
Monday,254.77,8.50
Tuesday,240.85,8.17
Wednesday,223.78,7.40
Thursday,232.57,7.81
Friday,258.67,8.33
Saturday,322.29,9.81
