Day,Players,LFMs
Sunday,406.40,12.08
Monday,332.32,10.26
Tuesday,309.50,10.06
Wednesday,293.48,9.13
Thursday,296.78,9.88
Friday,338.80,10.80
Saturday,411.88,11.99
