Hour,Players,LFMs
0,298.29,9.69
1,233.04,8.22
2,187.11,7.35
3,160.46,6.25
4,151.53,6.02
5,156.22,5.89
6,169.43,6.14
7,190.12,6.76
8,201.50,7.47
9,237.03,8.32
10,287.74,9.84
11,333.69,11.27
12,365.67,12.15
13,406.77,12.39
14,442.12,12.63
15,465.74,13.89
16,475.57,14.34
17,479.32,14.02
18,508.80,13.98
19,542.40,14.59
20,564.08,14.77
21,540.41,14.59
22,471.13,13.35
23,385.34,11.90
