Day,Players,LFMs
Sunday,318.50,7.92
Monday,243.85,7.50
Tuesday,231.45,8.01
Wednesday,204.91,8.25
Thursday,224.24,8.76
Friday,219.65,7.99
Saturday,320.29,7.39
