Level,Percent
1,0.02173
2,0.02236
3,0.02428
4,0.03706
5,0.02971
6,0.03003
7,0.04984
8,0.02875
9,0.0262
10,0.03227
11,0.01917
12,0.02843
13,0.02684
14,0.03291
15,0.05431
16,0.0393
17,0.03099
18,0.0377
19,0.01693
20,0.03227
21,0.02428
22,0.01757
23,0.02013
24,0.01821
25,0.01789
26,0.01757
27,0.0147
28,0.01661
29,0.02173
30,0.21022
