Hour,Players,LFMs
0,247.53,8.93
1,196.40,7.46
2,160.69,6.09
3,142.35,6.13
4,142.28,6.38
5,149.68,6.75
6,160.56,7.01
7,179.54,6.97
8,198.99,7.31
9,200.48,7.40
10,222.06,7.77
11,255.29,9.00
12,288.65,9.93
13,312.12,10.27
14,347.17,11.79
15,373.58,12.02
16,377.58,11.52
17,361.75,11.07
18,341.50,10.36
19,342.18,10.58
20,365.36,10.94
21,373.67,11.52
22,349.61,11.27
23,303.03,10.39
