Hour,Players,LFMs
0,210.21,8.52
1,174.15,7.44
2,150.26,6.61
3,139.31,6.39
4,141.90,6.56
5,149.73,6.75
6,162.02,7.18
7,179.47,7.51
8,191.68,7.66
9,210.44,8.51
10,240.76,9.41
11,272.65,10.73
12,297.36,11.47
13,323.46,11.64
14,353.32,12.48
15,370.58,12.71
16,364.43,12.27
17,342.87,11.96
18,333.45,11.52
19,347.29,11.77
20,362.68,11.87
21,351.57,12.06
22,311.02,11.27
23,258.49,10.05
