Day,Players,LFMs
Sunday,324.48,10.74
Monday,251.14,8.98
Tuesday,236.30,8.19
Wednesday,225.99,7.54
Thursday,240.03,8.36
Friday,266.28,9.38
Saturday,317.73,10.58
