Class,Percent
Alchemist,0.05246
Artificer,0.06038
Barbarian,0.06923
Bard,0.06618
Cleric,0.06252
Druid,0.04178
Favored Soul,0.04148
Fighter,0.06465
Monk,0.0491
Paladin,0.09424
Ranger,0.07411
Rogue,0.09546
Sorcerer,0.07167
Warlock,0.0738
Wizard,0.08295
