Day,Players,LFMs
Sunday,390.60,13.15
Monday,317.90,11.70
Tuesday,301.37,11.41
Wednesday,284.34,11.55
Thursday,287.59,11.41
Friday,329.99,12.27
Saturday,377.86,13.37
