Hour,Players,LFMs
0,192.36,9.27
1,161.56,8.29
2,140.88,6.93
3,130.09,6.75
4,132.71,6.76
5,140.90,6.82
6,153.57,8.02
7,174.66,8.40
8,183.80,8.29
9,204.90,9.78
10,235.89,11.00
11,269.79,12.44
12,305.66,13.97
13,330.99,13.68
14,360.00,13.99
15,381.27,14.94
16,372.99,14.84
17,352.12,14.33
18,336.03,13.47
19,343.49,13.78
20,356.69,13.70
21,344.27,13.94
22,300.42,12.60
23,244.74,11.06
