Level,Percent
1,0.02379
2,0.0183
3,0.0247
4,0.03599
5,0.02806
6,0.02409
7,0.03599
8,0.02836
9,0.02745
10,0.03141
11,0.0244
12,0.0305
13,0.02257
14,0.01464
15,0.0491
16,0.03538
17,0.03111
18,0.04209
19,0.01616
20,0.03538
21,0.02379
22,0.02013
23,0.02409
24,0.01891
25,0.02196
26,0.01647
27,0.01311
28,0.02013
29,0.02562
30,0.23635
