Day,Players,LFMs
Sunday,318.01,11.20
Monday,247.20,9.55
Tuesday,232.90,8.93
Wednesday,217.55,8.42
Thursday,232.19,9.16
Friday,259.73,9.78
Saturday,309.86,11.23
