Class,Percent
Alchemist,0.02212
Artificer,0.06676
Barbarian,0.07172
Bard,0.07255
Cleric,0.07627
Druid,0.03721
Favored Soul,0.04051
Fighter,0.10356
Monk,0.04237
Paladin,0.09239
Ranger,0.07916
Rogue,0.08723
Sorcerer,0.05663
Warlock,0.06242
Wizard,0.08909
