Day,Players,LFMs
Sunday,321.84,12.68
Monday,236.37,10.95
Tuesday,225.53,10.21
Wednesday,216.36,9.88
Thursday,218.40,10.26
Friday,253.26,10.87
Saturday,311.58,12.77
