Day,Players,LFMs
Sunday,329.99,9.82
Monday,257.24,8.94
Tuesday,230.88,8.41
Wednesday,216.88,7.44
Thursday,232.91,7.81
Friday,246.43,8.42
Saturday,321.70,9.86
