Hour,Players,LFMs
0,242.28,9.36
1,193.79,6.27
2,161.61,5.35
3,140.45,5.35
4,140.38,5.38
5,146.75,6.31
6,152.38,6.85
7,166.90,6.90
8,191.76,7.22
9,199.00,6.77
10,211.19,7.36
11,270.56,8.79
12,291.34,8.98
13,303.89,10.16
14,343.58,10.73
15,366.34,11.58
16,368.62,11.48
17,353.87,11.67
18,334.83,9.70
19,326.67,9.94
20,360.33,9.45
21,375.77,10.12
22,350.56,11.54
23,300.61,11.06
