Class,Percent
Alchemist,0.01962
Artificer,0.06605
Barbarian,0.07211
Bard,0.06637
Cleric,0.07754
Druid,0.03765
Favored Soul,0.03606
Fighter,0.08807
Monk,0.04403
Paladin,0.09062
Ranger,0.07897
Rogue,0.09429
Sorcerer,0.05951
Warlock,0.0753
Wizard,0.09381
