Day,Players,LFMs
Sunday,389.45,12.63
Monday,298.38,10.55
Tuesday,285.98,10.30
Wednesday,265.67,8.84
Thursday,280.57,9.97
Friday,305.00,10.56
Saturday,382.91,12.64
