Hour,Players,LFMs
0,295.22,10.80
1,238.70,8.65
2,193.56,7.94
3,163.90,8.75
4,146.42,7.82
5,141.10,5.73
6,159.57,5.27
7,181.48,7.79
8,193.49,8.44
9,196.24,8.48
10,210.18,8.49
11,292.07,11.89
12,334.14,12.24
13,360.89,12.44
14,390.62,12.44
15,418.11,13.04
16,427.83,14.41
17,427.27,13.41
18,422.65,12.63
19,436.12,12.96
20,462.76,12.75
21,469.46,13.70
22,423.61,13.86
23,362.56,12.00
