Class,Percent
Alchemist,0.03868
Artificer,0.06254
Barbarian,0.04965
Bard,0.07157
Cleric,0.06447
Druid,0.02966
Favored Soul,0.06963
Fighter,0.05545
Monk,0.05803
Paladin,0.09155
Ranger,0.05867
Rogue,0.10058
Sorcerer,0.06061
Warlock,0.09929
Wizard,0.08962
