Day,Players,LFMs
Sunday,482.88,16.64
Monday,399.18,15.56
Tuesday,374.57,14.94
Wednesday,348.78,13.00
Thursday,359.70,13.54
Friday,404.08,14.34
Saturday,477.38,16.50
