Hour,Players,LFMs
0,309.33,10.20
1,248.40,8.64
2,203.93,8.04
3,173.53,7.68
4,158.39,7.20
5,158.25,6.96
6,171.98,7.53
7,189.14,8.16
8,204.49,8.95
9,207.46,8.77
10,239.93,9.52
11,285.39,10.52
12,335.38,11.91
13,376.01,12.98
14,412.22,14.17
15,433.76,14.39
16,441.59,14.44
17,432.20,14.31
18,427.33,13.47
19,432.95,12.90
20,458.19,12.60
21,469.02,12.17
22,436.55,12.15
23,376.81,11.31
