Day,Players,LFMs
Sunday,392.13,12.03
Monday,272.60,9.88
Tuesday,280.27,10.42
Wednesday,254.89,9.07
Thursday,265.43,10.18
Friday,277.16,10.58
Saturday,406.53,12.22
