Day,Players,LFMs
Sunday,313.41,11.65
Monday,221.00,9.69
Tuesday,211.07,8.97
Wednesday,201.39,8.18
Thursday,208.71,8.49
Friday,242.78,9.67
Saturday,310.22,11.22
