Class,Percent
Alchemist,0.04662
Artificer,0.06273
Barbarian,0.06688
Bard,0.05809
Cleric,0.07176
Druid,0.04296
Favored Soul,0.03637
Fighter,0.06053
Monk,0.04296
Paladin,0.08445
Ranger,0.08055
Rogue,0.10691
Sorcerer,0.06688
Warlock,0.07542
Wizard,0.0969
