Day,Players,LFMs
Sunday,426.26,14.99
Monday,334.36,12.97
Tuesday,319.98,12.43
Wednesday,293.58,11.08
Thursday,308.81,11.90
Friday,341.27,12.65
Saturday,416.16,14.39
