Day,Players,LFMs
Sunday,2373.46,79.95
Monday,1841.47,68.11
Tuesday,1752.35,65.97
Wednesday,1646.08,58.33
Thursday,1763.86,65.38
Friday,1914.05,69.08
Saturday,2326.48,78.45
