Hour,Players,LFMs
0,1824.64,70.46
1,1468.54,60.79
2,1212.59,53.63
3,1067.22,49.71
4,1026.56,49.06
5,1055.76,49.82
6,1154.21,53.45
7,1296.66,57.90
8,1405.17,60.16
9,1590.50,65.75
10,1851.68,74.95
11,2098.12,84.20
12,2307.16,90.35
13,2518.28,94.13
14,2719.79,98.58
15,2850.67,101.74
16,2868.21,101.32
17,2821.27,99.92
18,2869.80,99.06
19,3034.80,100.37
20,3149.73,100.62
21,3050.38,98.26
22,2713.54,91.60
23,2261.84,81.67
