Day,Players,LFMs
Sunday,2462.94,97.06
Monday,1830.06,82.72
Tuesday,1749.65,79.34
Wednesday,1698.21,75.41
Thursday,1699.44,74.02
Friday,1940.04,82.15
Saturday,2382.25,92.99
