Day,Players,LFMs
Sunday,2415.72,77.70
Monday,1835.57,68.75
Tuesday,1786.59,63.94
Wednesday,1618.19,59.41
Thursday,1752.23,66.55
Friday,1761.61,67.27
Saturday,2440.71,77.35
