Day,Players,LFMs
Sunday,2544.75,91.01
Monday,1996.73,77.53
Tuesday,1891.02,74.49
Wednesday,1775.26,68.22
Thursday,1871.10,72.86
Friday,2061.43,77.35
Saturday,2491.34,88.56
