Day,Players,LFMs
Sunday,3000.52,105.20
Monday,2457.46,91.89
Tuesday,2316.55,89.81
Wednesday,2199.64,84.20
Thursday,2238.43,85.19
Friday,2540.18,92.43
Saturday,2977.31,103.44
