Class,Percent
Alchemist,NaN
Artificer,NaN
Barbarian,NaN
Bard,NaN
Cleric,NaN
Druid,NaN
Favored Soul,NaN
Fighter,NaN
Monk,NaN
Paladin,NaN
Ranger,NaN
Rogue,NaN
Sorcerer,NaN
Warlock,NaN
Wizard,NaN
