Day,Players,LFMs
Sunday,306.66,11.78
Monday,241.65,10.25
Tuesday,235.20,9.97
Wednesday,218.39,8.69
Thursday,235.00,9.70
Friday,251.58,10.08
Saturday,299.06,11.55
