Class,Percent
Alchemist,0.02094
Artificer,0.07201
Barbarian,0.06966
Bard,0.06004
Cleric,0.08205
Druid,0.03889
Favored Soul,0.03462
Fighter,0.10256
Monk,0.03953
Paladin,0.0891
Ranger,0.08333
Rogue,0.09295
Sorcerer,0.0562
Warlock,0.06261
Wizard,0.09551
