Day,Players,LFMs
Sunday,367.27,17.74
Monday,280.54,15.33
Tuesday,268.05,14.48
Wednesday,256.44,14.13
Thursday,262.19,13.77
Friday,295.94,15.35
Saturday,353.49,17.05
