Class,Percent
Alchemist,0.03262
Artificer,0.07012
Barbarian,0.06612
Bard,0.05412
Cleric,0.07512
Druid,0.03962
Favored Soul,0.03962
Fighter,0.08949
Monk,0.03975
Paladin,0.09286
Ranger,0.08424
Rogue,0.09486
Sorcerer,0.05687
Warlock,0.06774
Wizard,0.09686
