Hour,Players,LFMs
0,231.20,12.86
1,186.40,11.47
2,155.44,10.31
3,142.33,10.17
4,146.42,10.18
5,158.06,10.30
6,169.04,11.13
7,187.43,12.30
8,202.96,12.66
9,230.33,13.08
10,267.17,14.48
11,304.30,16.39
12,348.90,18.31
13,378.12,18.80
14,404.08,19.61
15,426.29,20.39
16,433.39,20.73
17,430.42,20.27
18,427.59,19.79
19,438.04,19.59
20,438.27,18.90
21,412.99,17.94
22,362.86,16.39
23,298.29,14.63
