Class,Percent
Alchemist,0.04131
Artificer,0.06038
Barbarian,0.04661
Bard,0.05085
Cleric,0.05614
Druid,0.04237
Favored Soul,0.05932
Fighter,0.06674
Monk,0.05932
Paladin,0.09004
Ranger,0.08263
Rogue,0.09004
Sorcerer,0.04449
Warlock,0.09852
Wizard,0.11123
