Day,Players,LFMs
Sunday,313.93,11.94
Monday,248.60,11.52
Tuesday,241.48,9.48
Wednesday,216.42,7.79
Thursday,239.71,8.97
Friday,237.55,9.29
Saturday,305.17,11.38
