Hour,Players,LFMs
0,232.68,9.53
1,187.31,8.03
2,154.36,6.86
3,131.78,6.74
4,124.08,6.44
5,127.15,6.62
6,130.71,6.65
7,141.96,7.21
8,163.66,8.05
9,179.62,8.64
10,207.11,9.25
11,244.86,10.73
12,287.76,11.84
13,312.06,11.67
14,337.71,12.71
15,365.44,13.31
16,376.46,13.54
17,367.17,13.48
18,355.39,13.63
19,357.72,13.53
20,370.81,12.93
21,363.29,12.62
22,332.77,12.00
23,285.98,11.20
