Day,Players,LFMs
Sunday,336.06,13.83
Monday,267.06,12.00
Tuesday,258.39,11.62
Wednesday,238.29,10.56
Thursday,257.54,11.46
Friday,278.74,11.81
Saturday,327.42,13.40
