Hour,Players,LFMs
0,227.66,8.65
1,182.69,6.29
2,153.06,4.92
3,125.99,5.48
4,119.83,5.45
5,126.36,5.51
6,136.79,6.25
7,145.15,6.67
8,164.22,8.93
9,179.69,9.51
10,199.10,8.69
11,259.96,11.44
12,288.07,11.54
13,307.40,11.83
14,332.03,13.01
15,370.65,13.41
16,382.89,14.30
17,364.92,13.53
18,354.39,13.80
19,360.50,15.17
20,376.86,11.85
21,379.79,11.71
22,348.27,11.76
23,292.77,10.86
