Day,Players,LFMs
Sunday,418.60,17.27
Monday,349.55,15.02
Tuesday,336.93,15.14
Wednesday,318.53,14.35
Thursday,333.94,14.19
Friday,368.03,14.94
Saturday,414.06,16.94
