Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Sunday,313.26,231.82,212.87,240.6,198.27,245.7,276.51,47.19,201.48
Monday,237.74,187.95,165.07,177.28,135.28,191.04,205.72,40.02,152.76
Tuesday,230.15,188.11,159.83,173.75,135.11,188.99,203.49,35.92,141.81
Wednesday,221.38,175.94,149.9,159.6,130.61,189.14,194.76,31.28,147.41
Thursday,265.3,206.95,171.65,210.13,162.31,207.21,223.07,39.72,178.81
Friday,231.77,189.33,158.29,188.27,140.2,193.02,205.6,35.82,140.48
Saturday,296.64,230.95,205.38,224.24,180.14,238.55,254.65,47.68,183.75
