Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
Sunday,345.22,261.71,245.44,260.97,218.89,260.9,299.62,56.68,463.01
Monday,270.87,209.48,193.21,195.3,161.96,208.09,228.55,44.51,368.77
Tuesday,253.98,200.25,184.52,179.89,153.37,205.27,212.85,41.09,345.24
Wednesday,249.18,197.21,177.99,176.08,150.71,198.3,209.33,40.66,353.21
Thursday,256.78,202.35,180.28,183.21,156.64,198.48,209.61,41.68,377.42
Friday,258.2,205.98,191.22,191.15,160.06,207.5,216.99,42.11,370.61
Saturday,319.56,246.72,233.44,236.52,198.38,244.74,275.93,54.29,458.14
