Hour,Players,LFMs
0,348.25,13.41
1,278.79,11.67
2,230.74,10.43
3,203.38,9.06
4,197.04,9.77
5,206.48,10.10
6,226.94,11.05
7,262.16,12.59
8,283.41,12.36
9,328.47,13.56
10,384.38,15.75
11,439.91,17.82
12,477.23,18.04
13,518.80,19.15
14,564.54,20.30
15,591.35,21.09
16,585.50,21.47
17,572.25,21.19
18,581.84,21.44
19,606.83,20.84
20,621.37,20.00
21,587.10,19.44
22,515.84,17.66
23,430.71,16.05
