Class,Percent
Alchemist,0.06137
Artificer,0.04603
Barbarian,0.0795
Bard,0.08926
Cleric,0.0516
Druid,0.01953
Favored Soul,0.05997
Fighter,0.04881
Monk,0.05997
Paladin,0.08368
Ranger,0.06695
Rogue,0.09902
Sorcerer,0.05858
Warlock,0.08508
Wizard,0.09066
