Class,Percent
Alchemist,0.02024
Artificer,0.06072
Barbarian,0.07473
Bard,0.05656
Cleric,0.08121
Druid,0.03659
Favored Soul,0.0301
Fighter,0.10171
Monk,0.03814
Paladin,0.08848
Ranger,0.07577
Rogue,0.10483
Sorcerer,0.06046
Warlock,0.06591
Wizard,0.10457
