Class,Percent
Alchemist,0.03501
Artificer,0.061
Barbarian,0.07197
Bard,0.05754
Cleric,0.07572
Druid,0.03636
Favored Soul,0.03456
Fighter,0.08504
Monk,0.03816
Paladin,0.08759
Ranger,0.08308
Rogue,0.10322
Sorcerer,0.0628
Warlock,0.06956
Wizard,0.09841
