Level,Percent
1,0.07213
2,0.02154
3,0.02906
4,0.06772
5,0.0371
6,0.02387
7,0.09133
8,0.0384
9,0.02932
10,0.04411
11,0.03581
12,0.03243
13,0.02984
14,0.02309
15,0.10431
16,0.0314
17,0.02569
18,0.02621
19,0.00804
20,0.0384
21,0.02335
22,0.01583
23,0.01427
24,0.01297
25,0.01012
26,0.00934
27,0.0096
28,0.00701
29,0.00701
30,0.0807
