Day,Players,LFMs
Sunday,484.98,19.82
Monday,377.09,16.68
Tuesday,360.15,16.59
Wednesday,356.34,15.98
Thursday,336.86,14.88
Friday,378.44,16.60
Saturday,458.77,18.22
