Hour,Players,LFMs
0,196.98,7.20
1,156.09,7.43
2,123.03,5.38
3,102.75,3.94
4,98.75,4.02
5,96.98,5.05
6,102.26,5.17
7,111.52,5.74
8,136.02,6.94
9,148.85,7.31
10,160.08,6.80
11,215.11,8.87
12,244.55,11.06
13,273.79,9.80
14,295.06,10.20
15,304.83,11.18
16,314.78,10.89
17,309.55,10.65
18,310.23,11.98
19,332.40,12.69
20,358.76,13.52
21,358.32,12.14
22,322.67,10.21
23,261.11,9.31
