Day,Players,LFMs
Sunday,274.94,10.33
Monday,210.04,8.67
Tuesday,196.66,8.51
Wednesday,190.70,7.65
Thursday,202.52,8.58
Friday,218.35,9.10
Saturday,267.17,10.12
