Hour,Players,LFMs
0,228.49,9.74
1,180.25,8.36
2,146.77,7.06
3,127.32,6.39
4,122.43,6.41
5,128.15,6.61
6,139.67,7.26
7,157.94,8.27
8,173.83,8.63
9,200.57,9.38
10,238.66,10.81
11,277.09,12.29
12,313.13,13.24
13,344.58,14.21
14,371.43,14.67
15,386.26,15.07
16,387.66,15.33
17,384.62,15.18
18,390.73,15.28
19,406.90,15.40
20,419.62,15.09
21,404.13,14.36
22,354.40,13.11
23,289.69,11.47
