Hour,Players,LFMs
0,325.36,14.00
1,262.04,11.43
2,215.32,10.00
3,191.20,9.45
4,183.41,9.31
5,190.58,10.13
6,205.54,10.69
7,235.08,12.98
8,255.33,12.84
9,291.67,14.05
10,343.86,15.76
11,389.37,18.03
12,449.75,20.12
13,496.82,22.32
14,535.33,22.59
15,557.98,23.09
16,566.34,23.19
17,566.99,22.63
18,574.73,23.44
19,585.13,23.16
20,587.88,22.17
21,557.13,20.75
22,493.20,19.21
23,411.86,16.50
