Day,Players,LFMs
Sunday,332.62,13.25
Monday,262.93,11.07
Tuesday,248.45,10.90
Wednesday,233.65,9.89
Thursday,245.05,10.60
Friday,267.44,11.24
Saturday,325.39,12.79
