Class,Percent
Alchemist,0.05532
Artificer,0.06138
Barbarian,0.06817
Bard,0.05889
Cleric,0.06817
Druid,0.03605
Favored Soul,0.04069
Fighter,0.0621
Monk,0.03819
Paladin,0.08637
Ranger,0.09315
Rogue,0.101
Sorcerer,0.06602
Warlock,0.07459
Wizard,0.08994
