Day,Players,LFMs
Sunday,278.07,8.73
Monday,205.24,8.36
Tuesday,202.99,7.28
Wednesday,186.26,6.99
Thursday,199.98,8.86
Friday,199.48,8.56
Saturday,285.56,11.40
